品类,标准合同一级科目,标准合同二级科目,标准合同名称,标准合同编号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑与边坡支护工程费,土钉墙、喷锚护坡分包合同,BZJCSS-029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑与边坡支护工程费,地下连续墙分包合同,BZJCSS-033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑与边坡支护工程费,钢支撑安装拆除分包合同,BZJCSS-030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑与边坡支护工程费,钢板桩分包合同,BZJCSS-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑与边坡支护工程费,钢格构柱及支撑桩分包合同,BZJCSS-031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑与边坡支护工程费,钢筋混凝土支撑拆除分包合同,BZJCSS-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,基坑降水工程费,降水分包合同,BZJCSS-034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,外装修工程费,外墙涂料施工分包合同,BZJCSS-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,外装修工程费,外墙贴砖分包合同,BZJCSS-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,外装修工程费,屋面瓦施工合同,BZJCSS-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,外装修工程费,幕墙分包合同,BZJCSS-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,岸堤整治工程费,岸堤整治工程分包合同,BZJCSS-095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,建筑地坪工程费,建筑地坪分包合同,BZJCSS-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,拆除工程费,加固改造工程分包合同,BZJCSS-076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,拆除工程费,拆除护栏合同,BZJCSS-088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,拆除工程费,拆除旧路基路面合同,BZJCSS-087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,拆除工程费,拆除管网、设备分包合同,BZJCSS-099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,拆除工程费,拆除结构物合同,BZJCSS-086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,拆除工程费,植筋、开洞施工合同,BZJCSS-077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,伸缩缝加工及安装合同,BZJCSS-072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,悬索、钢拉杆分包合同,BZJCSS-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,桥面系分包合同,BZJCSS-093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,涵洞工程分包合同,BZJCSS-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,箱梁、T梁预制、安装分包合同,BZJCSS-070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,边坡防护工程分包合同,BZJCSS-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,钢箱梁工程分包合同,BZJCSS-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桥涵工程费,隔声屏障加工及安装合同,BZJCSS-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桩基础工程费,圆木桩分包合同,BZJCSS-090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桩基础工程费,挖孔桩工程合同,BZJCSS-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桩基础工程费,桩后压浆分包合同,BZJCSS-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桩基础工程费,钻孔灌注桩分包合同,BZJCSS-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,桩基础工程费,预制钢筋混凝土桩分包合同,BZJCSS-082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,水处理工程费,垃圾站施工分包合同,BZJCSS-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,水处理工程费,水处理构筑物分包合同,BZJCSS-021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,水处理工程费,水处理设备分包合同,BZJCSS-083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,清淤工程费,清淤工程分包合同,BZJCSS-075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,生态修复工程费,生态修复工程分包合同,BZJCSS-094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,电力工程费,弱电工程分包合同,BZJCSS-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,电力工程费,电力工程分包合同,BZJCSS-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构出渣工程费,盾构渣土外运工程分包合同,BZJCSS-062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构掘进施工费,盾构区间堵漏工程分包合同,BZJCSS-217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构掘进施工费,盾构区间管片修补工程分包合同,BZJCSS-216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构掘进施工费,盾构联络通道工程分包合同,BZJCSS-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构掘进施工费,隧道应急抢险工程分包合同,BZJCSS-218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构洞门加固施工费,大管棚施工分包合同,BZJCSS-064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业分包,基础设施分包工程费,盾构洞门加固施工费,盾构洞门冷冻法加固工程分包合同,BZJCSS-219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
