品类,标准合同一级科目,标准合同二级科目,标准合同名称,标准合同编号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,安装分包工程费,BIM深化设计工程费,BIM深化分包合同,BZAZ-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,安装分包工程费,保温工程费,通风保温工程分包合同,BZAZ-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,安装分包工程费,创优工程费,创优工程合同,BZKB-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,安装分包工程费,材料检测工程费,材料检测分包合同,BZAZ-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,安装分包工程费,消防工程费,消防电分包合同,BZAZ-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,安装分包工程费,防雷检测工程费,防雷检测分包合同,BZAZ-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,工程建设其他费,临时场地准备费,临时场地准备合同,BZKB-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,工程建设其他费,工程定位复测费,工程定位复测合同,BZKB-138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,工程建设其他费,市政公用设施费,市政公用设施合同,BZKB-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,工程建设其他费,扰民费,扰民合同,BZKB-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,工程建设其他费,水土保持监测费,水土保持监测合同,BZKB-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工技术措施费,其他零星机械费,汽车衡检修服务合同,BZKB-034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工技术措施费,其他零星机械费,物流运输服务合同,BZKB-052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工技术措施费,垂直运输机械费,塔吊检测服务合同,BZKB-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工技术措施费,大临设施费,预制场分包合同,BZKB-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,临时办公区、生活区房屋租赁合同,BZKB-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,临时占路合同,BZKB-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,临时场地租赁合同,BZKB-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,仓储服务合同,BZKB-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,视频监控系统供货及安装合同,BZKB-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,门禁、物料验收系统供货及安装合同,BZKB-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,临时设施费,除害合同,BZKB-127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,冬雨季施工增加费,冬雨季施工增加费合同,BZKB-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,地上、地下设施、建筑物的临时保护设施,临时保护分包合同,BZKB-064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,境外施工组织,出口代理合同,BZKB-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,境外施工组织,境外机票购买合同,BZKB-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,境外施工组织,清关代理合同,BZKB-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,夜间施工增加费,夜间施工增加费合同,BZKB-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,安全文明施工费扣减,安全文明施工费扣减,BZKB-136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,安全施工费,智慧数字展馆供货及安装合同,BZKB-126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,安全施工费,消防保卫服务合同,BZKB-071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,安全施工费,警卫服务合同,BZKB-070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,已完工程及设备保护费,成品保护分包合同,BZKB-066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,常态化防控费用,常态化防控合同,BZKB-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,文明施工费,临时厕所清抽合同,BZKB-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,文明施工费,保洁服务合同,BZKB-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,文明施工费,洒水车租赁及服务合同,BZJCSS-203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,环境保护费,危险废物处置服务合同,BZFJ-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,环境保护费,垃圾清运服务合同,BZKB-072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,环境保护费,污水处理服务合同,BZKB-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,施工组织措施费,非夜间施工照明,非夜间施工照明分包合同,BZKB-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业服务,运营费,运营费,运营费,BZJCSS-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,屋顶拉索施工分包合同,BZFJ-046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,模板工程劳务分包合同,BZFJ-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,混凝土工程劳务分包合同,BZFJ-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,现场文明施工分包合同,BZKB-074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,结构剪力墙螺杆洞封堵分包合同,BZFJ-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,结构劳务分包合同,BZFJ-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,脚手架工程分包合同,BZKB-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,钢筋外加工分包合同,BZFJ-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,钢筋工程劳务分包合同,BZFJ-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,预制构件施工分包合同,BZFJ-086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,主体结构工程费,预应力施工分包合同,BZFJ-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,二次结构及粗装修工程费,二次结构及粗装修分包合同,BZFJ-057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,二次结构及粗装修工程费,轻质隔墙供货及安装合同,BZFJ-061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,二次结构及粗装修工程费,轻集料混凝土分包合同,BZFJ-031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,二次结构及粗装修工程费,预制设备基础分包合同,BZFJ-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,土石方工程费,回填工程分包合同,BZFJ-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,土石方工程费,土石方工程分包合同,BZFJ-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,地基处理与边坡支护工程费,钢筋混凝土支撑分包合同,BZFJ-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,外装修工程费,外墙涂料施工分包合同,BZFJ-073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,外装修工程费,外墙贴砖分包合同,BZFJ-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,外装修工程费,屋面瓦施工分包合同,BZFJ-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,外装修工程费,幕墙分包合同,BZFJ-074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,工程保障服务费,竣工收尾分包合同,BZFJ-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,总平土建工程费,园路工程分包合同,BZYL-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,总平土建工程费,正式道路工程分包合同,BZYL-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,拆改加固工程费,拆除工程分包合同,BZFJ-092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,精装修工程费,墙柱面与隔断施工分包合同,BZFJ-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,精装修工程费,天棚工程施工分包合同,BZFJ-033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,精装修工程费,楼地面施工分包合同,BZFJ-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,精装修工程费,精装修分包合同,BZFJ-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,金属结构工程费,压型钢板施工分包合同,BZFJ-042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,金属结构工程费,钢结构工程分包合同,BZFJ-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,金属结构工程费,钢结构防火涂料施工分包合同,BZFJ-039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,门窗工程费,塑钢门窗供货及安装合同,BZFJ-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,土建分包工程费,防水防腐工程费,防水工程分包合同,BZFJ-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,主体结构工程费,保修合同,BZJCSS-245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,主体结构工程费,外脚手架租赁搭拆分包合同,BZJCSS-042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,主体结构工程费,应急抢险工程分包合同,BZJCSS-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,主体结构工程费,竣工收尾分包合同,BZJCSS-244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,主体结构工程费,结构分包合同,BZJCSS-038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,主体结构工程费,预制构件安装分包合同,BZJCSS-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,二次结构及粗装修工程费,砌筑工程分包合同,BZJCSS-040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,二次结构及粗装修工程费,粗装修分包合同,BZJCSS-041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,二次结构及粗装修工程费,轻质隔墙分包合同,BZJCSS-039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,二次结构及粗装修工程费,轻集料混凝土分包合同,BZJCSS-214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,交通工程费,交安工程分包合同,BZJCSS-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,交通工程费,交通导改工程分包合同,BZJCSS-060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,交通工程费,交通疏解工程分包合同,BZJCSS-061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,人防工程费,人防设备分包合同,BZJCSS-037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,保温节能工程费,泡沫混凝土施工分包合同,BZJCSS-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,园林景观工程费,回填土（种植土）工程分包合同,BZJCSS-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,园林景观工程费,园林景观工程分包合同,BZJCSS-053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,土石方工程费,回填土工程分包合同,BZJCSS-084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,土石方工程费,土石方工程分包合同,BZJCSS-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,土石方工程费,场地清理分包合同,BZJCSS-089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,土石方工程费,采空区工程分包合同,BZJCSS-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,地基处理工程费,CFG桩分包合同,BZJCSS-081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,基坑与边坡支护工程费,地下连续墙分包合同,BZJCSS-033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,基坑与边坡支护工程费,钢支撑安装拆除分包合同,BZJCSS-030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,基坑与边坡支护工程费,钢筋混凝土支撑拆除分包合同,BZJCSS-032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,外装修工程费,外墙涂料施工分包合同,BZJCSS-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,外装修工程费,外墙贴砖分包合同,BZJCSS-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,外装修工程费,屋面瓦施工合同,BZJCSS-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,岸堤整治工程费,岸堤整治工程分包合同,BZJCSS-095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,建筑地坪工程费,建筑地坪分包合同,BZJCSS-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,拆除工程费,加固改造工程分包合同,BZJCSS-076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,拆除工程费,拆除护栏合同,BZJCSS-088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,拆除工程费,拆除旧路基路面合同,BZJCSS-087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,拆除工程费,拆除管网、设备分包合同,BZJCSS-099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,拆除工程费,拆除结构物合同,BZJCSS-086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,悬索、钢拉杆分包合同,BZJCSS-069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,桥梁主体结构分包合同,BZJCSS-073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,桥面系分包合同,BZJCSS-093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,涵洞工程分包合同,BZJCSS-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,砌筑工程分包合同,BZJCSS-074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,箱梁、T梁预制、安装分包合同,BZJCSS-070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,边坡防护工程分包合同,BZJCSS-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桥涵工程费,钢箱梁工程分包合同,BZJCSS-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桩基础工程费,挖孔桩工程合同,BZJCSS-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桩基础工程费,钻孔灌注桩分包合同,BZJCSS-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,桩基础工程费,预制钢筋混凝土桩分包合同,BZJCSS-082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,水处理工程费,垃圾站施工分包合同,BZJCSS-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,水处理工程费,水处理构筑物分包合同,BZJCSS-021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,水处理工程费,水处理设备分包合同,BZJCSS-083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,清淤工程费,清淤工程分包合同,BZJCSS-075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,电力工程费,弱电工程分包合同,BZJCSS-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,电力工程费,电力工程分包合同,BZJCSS-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,盾构出渣工程费,盾构渣土外运工程分包合同,BZJCSS-062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,盾构掘进施工费,盾构区间掘进工程劳务分包合同,BZJCSS-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,盾构掘进施工费,盾构联络通道工程分包合同,BZJCSS-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,盾构洞门加固施工费,袖阀管施工分包合同,BZJCSS-063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,管网工程费,给水、排水、污水、消防水工程分包合同,BZJCSS-059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,管网工程费,通风空调分包合同,BZJCSS-079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,管网工程费,顶管分包合同,BZJCSS-097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,精装修工程费,墙柱面装饰与隔断工程分包合同,BZJCSS-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,精装修工程费,天棚工程分包合同,BZJCSS-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,精装修工程费,楼地面装饰工程分包合同,BZJCSS-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,精装修工程费,精装修分包合同,BZJCSS-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,道路工程费,人行道施工分包合同,BZJCSS-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,道路工程费,路基工程分包合同,BZJCSS-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,道路工程费,路面基层、底基层工程合同,BZJCSS-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,道路工程费,路面工程分包合同,BZJCSS-026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,金属结构工程费,压型钢板安装分包合同,BZJCSS-043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,金属结构工程费,钢结构加工制作分包合同,BZJCSS-017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,金属结构工程费,钢结构加工制作安装分包合同,BZJCSS-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,金属结构工程费,钢结构安装分包合同,BZJCSS-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,金属结构工程费,钢结构涂料分包合同,BZJCSS-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,钢筋加工工程费,钢筋加工及安装分包合同,BZJCSS-078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,钢筋加工工程费,预应力分包合同,BZJCSS-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,防水工程费,刚性防水分包合同,BZJCSS-067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,防水工程费,卷材类防水分包合同,BZJCSS-036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,防水工程费,涂膜类防水分包合同,BZJCSS-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,防水工程费,防水堵漏分包合同,BZJCSS-246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,基础设施分包工程费,隧道工程费,暗挖工程分包合同,BZJCSS-098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,保温工程费,空调水保温工程分包合同,BZAZ-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,保温工程费,给排水保温工程分包合同,BZAZ-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,保温工程费,通风保温工程分包合同,BZAZ-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,分体空调工程费,分体空调、VRV供应及安装分包合同,BZAZ-027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,医疗气体工程费,医疗气体工程分包合同,BZAZ-024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,医疗管道工程费,医疗管道分包合同,BZAZ-136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,小市政工程费,小市政工程分包合同,BZAZ-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,工艺管道工程费,工艺管道分包合同,BZAZ-030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,弱电工程费,弱电工程分包合同,BZAZ-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,柴发系统工程费,柴油发电机分包合同,BZAZ-029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,消防工程费,消防水分包合同,BZAZ-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,消防工程费,消防电分包合同,BZAZ-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,热力工程费,热力工程分包合同,BZAZ-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,热通道工程费,热通道工程分包合同,BZAZ-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,燃气工程费,燃气工程分包合同,BZAZ-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,电梯工程费,电梯分包合同,BZAZ-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,电气工程费,电气分包合同,BZAZ-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,管道工程费,空调水分包合同,BZAZ-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,管道工程费,给排水分包合同,BZAZ-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,精装修工程费,功能性地板供货安装合同,BZAZ-020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,精装修工程费,吊顶类分包合同,BZAZ-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,精装修工程费,壁纸、地毯等供货安装合同,BZAZ-022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,精装修工程费,成品隔断供货安装合同,BZAZ-019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,精装修工程费,精装修分包合同,BZAZ-021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳务分包,安装分包工程费,虹吸雨水工程费,虹吸雨水分包合同,BZAZ-028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
